BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,
2459177.5417408072,0.9994347107181694,0.00041536634911611196,-0.07474219889925812,-0.011817457255662122,0.015906376158497753,0.0028066589821519926,0.07538051266540095,-0.19757129880338872,-0.023318943066619247,-0.06473205896722375,-0.038151262804068775,-0.012112668857629044,0.07461944576539514,-0.01652043457479763,0.023165324987087066,-0.02690131524277061,0.010062832240285577,0.056835998214113316,0.023529854886164922,-0.0606880233868269,0.05942847484330784,0.015145338992027663,-0.02782220297687546,-0.05108966190586469,-0.033913411702050845,
2459177.5424355366,0.9995564739347063,0.00041538362129710997,0.0025106608200032724,-0.016693648259419012,0.03173375648444212,0.0849722762534623,0.17070840027593495,0.025117802119897267,0.07043587960264514,-0.018246521716266513,-0.043761218160461066,-0.020171215135990794,-0.018350324499013054,0.036910456348497045,0.011589721368950555,0.05186265914700291,0.03377375213079345,0.018809339091985282,0.011325450964670096,-0.059379064120892264,-0.05055946590899732,-0.022864252438795828,0.01766145622853189,-0.032969616158080334,0.03934238548762872,
2459177.543130265,1.0004146073463682,0.0004155075151702386,0.005122829126136795,-0.02555505769928371,0.036263431839331,0.028633838009785563,0.05471743673084207,-0.11668101275693832,-0.06692836254358947,-0.00991975205540868,0.027276603531160792,0.007639911836320034,-0.05051991303797499,0.043528474497898706,0.07425085764195796,-0.04214288701002541,-0.01271535360372901,0.010245762346407734,-0.04067325841243268,-0.06081622330714758,0.05103533734957403,0.08693671250505175,0.02986286825334008,0.027574226005477747,-0.03173430041128517,
2459177.5438249824,0.9999027091505669,0.0004153761899554565,-0.10001475341020655,-0.01309179304088182,0.13419507612175982,0.005783188039832051,-0.05936232900755081,-0.08529165235400119,-0.02466878454092534,0.012885911216990713,0.02902899273077913,-0.00489711756631684,0.001750691037237612,-0.0301307280512033,-0.062340054396974216,0.024016281471664708,-0.05519630607160396,0.01460730881186556,0.023290930354523766,-0.06699623805477718,0.0892182830639849,0.01808333782171019,0.08654269128249352,-0.048868003530510115,-0.04721178703357413,
2459177.544519711,0.9998827858675919,0.0004153527814558779,-0.04626043478183888,-0.03159401235667195,0.11452120500827769,-0.16157908457558467,0.10317602988769324,0.09766284233503826,0.01569805225870139,0.016715499206447833,-0.044786213590135744,-0.004224856768418606,-0.025133551120186035,0.016177023883315253,0.011905859199987063,-0.06883900040372615,-0.05979373929754986,0.07873225950108521,-0.05466646761119874,-0.06373239664228887,0.10655149926471032,-0.06277515344250148,-0.00018563891057559343,0.012521426600904467,0.0314396123260628,
2459177.5452144397,0.9999831197695521,0.00041534592386374854,-0.08063453163676321,-0.03246230405708831,0.10176283766197604,-0.12369981959749027,0.07176926374397298,0.11460466328131654,0.046382553871746994,0.06832663804654211,0.011298836265982035,0.02119545585620764,0.017446327901328607,0.018652536818607256,-0.003911191820546062,0.002957192507575242,-0.030231336804655458,-0.01360781274210427,-0.007344772719904785,-0.06030042693420173,-0.006780419849039633,0.007041369736702545,-0.00010661337822305901,0.01868452400614459,0.07469331558347009,
2459177.5459091687,1.000549549739357,0.0004154521935292442,0.007632516843634487,-0.06213154076342591,0.12159520789665938,0.024326145721460427,0.031541910778052115,0.008861514387397174,0.011684310737270751,0.030582800790365933,-0.0940469933732522,0.07386554739956601,0.00843137591542036,-0.04110179837111913,-0.0413702568225531,0.024233243396953704,0.04782693389291626,-0.08313477417639255,0.01695726015602889,-0.06552257441040542,0.08448636131472928,0.011739081553657101,0.07446567730670807,0.033637500217236625,-0.06355667919816518,
2459177.5466038855,0.9998576378870394,0.000415331930546971,-0.031263211954032644,-0.0019452544319033178,0.1219899319580331,-0.005974335049697299,-0.0009156025962370189,-0.04862467798314568,-0.029231704243630266,0.04926212485124848,-0.07168461642528945,-0.009408555043820512,0.021598615481512234,0.05128531030674041,0.008801062065243394,-0.11644146816044089,0.12625795795678718,0.00524333619128244,-0.016742996931397996,-0.06688607556149784,0.0039249386649781,-0.019053663491432327,-0.006058529526156106,0.054672542816084226,0.0024382028146249855,
2459177.54868806,1.0010209587999874,0.0004155414314673225,-0.017158648578811504,-0.09682651865171603,0.13168710563814562,0.03736248477562635,0.08366681561373714,0.05246949605910358,-0.042611190906117216,-0.03547133827514166,0.05612654959053604,-0.12449835894955796,0.022492551682443587,0.0036608221648575003,0.0668442096920347,-0.013486065174937549,0.09165215444328041,-0.043911048226557364,-0.021151328363663298,-0.06230972488768403,0.07519019205350895,-0.006025327101657731,-0.012949102581685993,0.010503594002400245,0.02837987427973116,
2459177.549382789,1.0010995106382747,0.00041559214141315175,0.0036404962265380826,-0.07130224576046532,0.16680453462217024,0.028819952115449944,-0.04372542527740745,0.019069766965738085,-0.004901078655791499,-0.034879257681105565,0.044358895938000825,-0.060857273014526064,-0.010246175421257426,-0.03862831685061288,0.04985511902961428,-0.001358491533538808,-0.041008158583361855,-0.01634601618482423,-0.0586078455694692,-0.06579499242353122,0.03237593687436036,0.10090121238890902,-0.0835794704412047,0.02634243818436043,-0.020637057050820525,
2459177.5500775175,1.0008828824761782,0.0004157033999212734,-0.03147544228275502,-0.0597098691902441,0.1150382760228227,0.059145326213724356,0.008817602635270424,-0.005743301754061833,-0.08874550985540092,-0.020384190531137936,0.03879681869295555,-0.05044573888918513,0.05033289787383517,-0.026059604446578448,0.03948113858077942,-0.060174728576515714,0.10372983079636226,-0.03403998604446023,-0.0657192624360676,-0.06685042021967753,0.015719078907080318,0.0625464220882963,-0.004857406360029132,0.1573215997998487,0.031115971615406888,
2459177.5507722464,1.0003369281058534,0.0004158237687170196,-0.0017172753979973275,0.021703509061622703,0.13903057197669097,-0.024022771754209197,-0.022388742485188826,-0.032004028484307105,-0.0744734125375621,0.024850788705161067,-0.08565932433492679,-0.04294646780396068,0.017232191437106668,0.05173289826457436,-0.018822481869646336,-0.05144362186378568,0.04536018677889505,0.04372580677340938,0.04418757034863102,-0.0644467211809789,-0.05630099152321581,-0.02901890781902751,0.06597263019588419,-0.004378135102894129,0.02277198083987737,
