BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,
2459179.9388267603,0.9997267974078301,0.00041511747627755646,-0.10071339540703535,-0.1939567617271438,-0.023382092476912992,0.027158156533518885,0.28230028011226793,-0.03527305976167836,0.08000805234478807,0.08673859245769552,0.0697939895303509,-0.05791851493577293,-0.054021265300553754,0.017699809324270656,-0.025108553082448776,-0.04972312356746506,0.08137716855134594,-0.05376932406228219,
2459179.9395214873,0.9999331632669697,0.0004151654959990367,-0.11175590688678126,-0.10313280274962848,0.04190323161822041,0.03559579203411627,0.22522929202646177,0.1655489790849958,0.010547672867858564,0.054023410471467505,0.022628681904256723,-0.04133529954366355,-0.13619784098494359,0.06916738001138908,0.0741206312927991,-0.06351688300374773,-0.09779943773430375,-0.0583495131643087,
2459179.940216215,0.9994816223742395,0.0004150967094743643,-0.14491618234315573,-0.017522044074407633,-0.04390895943761365,0.011871624660038767,0.07858524575177167,0.02285639235173316,0.050237312912502684,0.0028216402739617563,-0.06818901721366075,0.011173980854127782,-0.12297300260915926,0.016934563877107282,0.030785380758244343,-0.07547430201958413,0.013464171165387097,-0.05860420026425141,
2459179.9409109303,0.9994485480211529,0.00041513410947203045,-0.14724007861490251,-0.03803926088011682,-0.09218251136068832,-0.16364036761772385,0.022614478515689318,-0.0683966745442399,0.008811453380056405,-0.014992260630706244,0.015296306030496582,-0.17794269085097977,-0.1335991768129433,0.017940668870570244,-0.011537468714357244,0.022244613937678265,0.05413030451770229,-0.06301891082872238,
2459179.9416056573,0.9992475082028002,0.00041521434014744,-0.12407874320155086,-0.11892987648204296,-0.016084300107410975,0.0002640162916484871,-0.02193641566567439,-0.08051592637971133,0.1354713826326273,-0.044262533516995606,-0.10547066842862718,0.01939544678420627,0.041329187930269684,-0.08249052558123064,0.04794618170746583,-0.12877798727855858,-0.04323738987251296,-0.06007162484915452,
2459179.942300384,0.9995882254282425,0.00041537083278005957,-0.10569223882401757,0.006362045226872379,-0.07547252196138378,0.011965970923152797,-0.005937353929625855,-0.01712039242201177,-0.027803877324512775,-0.045885845331385344,-0.13941822346413685,0.08473075889666497,0.039610668719469055,0.052591960554837086,-0.04709159154775909,-0.1574747904129412,0.015171215176523253,-0.06219995261084034,
2459179.9429951,0.9991656676034145,0.0004153110726847876,-0.07709384846029241,0.054007269301070054,-0.13970746164984488,0.019215493431517558,-0.019029727114167547,-0.046368131846913865,-0.143655996032181,-0.07581089314421567,-0.018068912017839056,-0.06653495216657236,0.0791243965687255,-0.04794859502283129,-0.007559535882941384,-0.05532478630978227,0.0026701482726275566,-0.060882303075837044,
2459179.9436898264,0.999564633096058,0.0004153716173069007,-0.11648430889379166,-0.04845043697170581,0.02091243042391414,-0.027004247607766485,-0.04156722259558884,-0.07392880468160587,-0.10076593066796115,-0.08082681977009927,-0.03782581046784228,0.011502208064228303,0.06909436655591605,0.0011825183686330135,0.04157089323719988,-0.08098058534910445,-0.06380530187493555,-0.06308985916805623,
2459179.9443845535,0.9988114563879174,0.000415216667157144,-0.11097531912783334,-0.071957147980664,-0.015655773828564323,0.11042303267688539,0.05141253831864398,-0.05610660964514487,-0.107515055014041,-0.0393445989130139,-0.026806767244075713,-0.08979883851298293,0.040565502144990495,0.029950626933383635,-0.012468638537932078,0.11212342611825302,-0.08348841069510879,-0.06344536565976176,
2459179.9450792694,0.9987329197025723,0.00041519697651057466,-0.14618470399164038,-0.03408287510935165,0.010595761065536467,0.0932758933804605,0.12870951352335824,-0.09149411757044147,-0.00872598401891167,0.03304418828602052,-0.0149453513308907,-0.08100526680268541,0.10731965848615264,0.0016429788661166608,0.04331221840369028,0.08178692479745078,0.008789402722577055,-0.06277046836798143,
2459179.9457739964,0.9993391587078085,0.0004152602521876468,-0.07919385111593162,-0.01634013374722848,-0.051879286680186404,0.012913699591402428,0.13765358142536685,0.022652225181424523,-0.021165893561464505,-0.01838609879006532,-0.039083424864227806,0.04440523619727399,0.09375196884186977,0.03244628820236255,-0.01808806474768069,-0.011394698979450888,0.06845168507867609,-0.06158258845036518,
2459179.9464687235,0.9995234860465602,0.0004152015753896149,-0.07929518799870701,-0.028987931056866645,-0.004537830876332527,0.043239793568909335,0.05927962756630918,0.09211442737490479,-0.11363571398511871,-0.08084906800539989,-0.009394263539029335,-0.007395466135374451,0.0436338229933584,0.08326616327966219,0.026676328379500895,-0.03281595749975222,-0.06309558609553521,-0.06183045962627283,
2459179.94716345,1.0002720571994592,0.0004153578921532067,-0.0944442546746534,-0.08494354713361879,0.08071479486897998,0.06947890028260931,-0.059738677844789874,0.09395844356244766,0.04655647361020668,-0.12529971906346196,-0.02682233631494024,0.06473415032370075,0.07647169801184382,0.0011391888270162894,-0.0011984680348813906,-0.17116806237254104,-0.0485042426951299,-0.06147764652774572,
2459179.947858166,0.999609503726721,0.000415197617516391,-0.12491359303992208,-0.02698758148040037,0.0851045994143579,0.029292175652881048,-0.04518133806930142,-0.06535212679764352,0.10652229982531058,-0.09718137461904233,0.07562364992417686,0.020450606806229676,0.023248699744852934,-0.07323532822461212,-0.0051066696773596106,-0.11302727124512256,-0.06985093840605008,-0.05755847345710157,
2459179.9485528925,1.0001303630660787,0.0004152846128200996,-0.03649202494904332,-0.009441964847289513,-0.03642835873485628,-0.04663184705788018,-7.147807032196011e-05,0.0852599962456399,0.04905423820724375,-0.1443277852698973,-0.04412589444793052,-0.02649439630557833,0.02809583450105924,-0.06741825108494132,-0.06310097495981781,0.052566841754742126,0.005503579210886511,-0.07122540019064755,
