BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,
2459147.093159151,1.0006024991938276,0.0004153240058666894,-0.09320068771864869,-0.05996378216065159,-0.004181924482375299,0.10428686208272535,0.11230267155440955,-0.0792194844171994,0.10219607603631103,0.09076885950629217,0.04307634947143532,-0.087145705131976,-0.0896464675311742,-0.12444606305116192,0.20504698770129462,-0.12344946373890452,0.043175019335771905,-0.024450737686298882,-0.15813761335814827,0.023457952742993057,0.05581092956102801,-0.03889783488970813,-0.07470716800397535,
2459147.093853906,1.0007271592518345,0.0004153534878115559,-0.11285022014239314,0.01635822622149094,-0.08173867153538068,-0.08609622996289976,-0.015713516863641145,-0.07559451657251476,0.03510598553257347,0.07060938349879033,0.0624856522975022,0.006315175794140045,-0.02414085851009852,0.07373356862314323,-0.025409449190553893,-0.037597085184714774,0.049053801787752906,0.10792362406950935,0.026631665114859482,0.09400845752306049,-0.0036329156009925045,-0.03852499848513677,-0.07220569974684632,
2459147.0945486603,1.0006434518775271,0.0004153580561050866,-0.037486228789905,-0.04851399700699982,-0.009499752647310442,0.06229017125229816,0.13881458138549624,0.021647535265641657,0.0038424309440536764,0.013170763807531103,-0.09098816738641574,-0.10187530603188162,-0.15326242544167903,0.02024128117908676,-0.01789120154605305,0.036484061224623984,-0.017660209763244648,0.031321557864028404,-0.13174043698632074,0.1052285569913755,0.07393184194062666,0.09005208144038265,-0.07209822819872509,
2459147.0952434153,1.0008625631645378,0.0004153736877720189,-0.1405233428402104,-0.04904335980675312,-0.0691717450398667,0.05648588987420071,-0.03921758848309462,0.015489796987959185,0.04387708168228019,-0.08694051734236666,0.0059077098723101466,-0.06546528310379106,-0.050085085572960174,0.05035442191964447,0.004631773059576237,0.015729420568702718,-0.09057327941159699,0.02221408477828159,-0.03294899599878624,0.04310309965168579,0.009744106774373207,-0.009398390126340639,-0.07249319318069249,
2459147.095938159,1.0009191977003913,0.00041540036126965754,-0.20829530901013626,-0.018401588901526877,-0.03785023389726,0.07830146399412322,0.00618245635549991,0.014594484294372396,-0.03589061710234252,0.07537199981092219,-0.05431014934868897,0.015321864444491537,0.21053655922011105,0.10426170615410615,-0.002117740764435161,-0.01666036859439607,-0.08404963846429193,-0.0028633216691497203,0.09801943127152532,-0.04530545371433887,-0.009054582063367816,-0.0884243856379135,-0.07090748288983975,
2459147.096632913,1.0006755785997197,0.00041536002454508535,-0.0055561970286166495,-0.09943669389647791,0.03422761885137553,0.08396655219550297,0.12199399286512963,0.01592477752192659,-0.06466146291512806,-0.040062751424644334,0.025119228680162933,0.021032874844803956,0.039461757616315485,0.024190695802977016,-0.049934005313847944,0.029673099501222874,-0.03847549096699129,0.010854329520023825,-0.09694020675053584,0.0007944554270145898,-0.008952937581778064,-0.011613419968737826,-0.06758021548971604,
2459147.097327668,1.0011284276355585,0.0004154466404364967,0.002479333095006031,-0.11220709616906169,-0.03667834593081499,0.10846387408366087,0.0743468323844827,-0.06188642203963047,-0.019502830284980264,-0.014226371136975918,0.06334673900377323,0.011533294909697497,-0.02510289133933437,0.007771787162915211,-0.04694926690570843,-0.007342725391570312,0.0979230121950076,0.039930478115231365,0.04266074629972991,-0.022655018884153874,0.03576366314282323,-0.05491248734871504,-0.0697076171342621,
2459147.098022423,1.0008483421202579,0.00041537445108285443,-0.05114633622881837,-0.07030019068509882,-0.07475842971655944,-0.015176224076928063,0.08411509190584449,-0.11491320329886709,0.012565279278138254,0.2312672905689773,0.13671921405643872,-0.1815860474478211,0.019094307690688664,0.14144503265323988,-0.0005709835909891159,-0.00883118053491748,0.12426357963398639,0.009389324771470753,0.10572586360419453,0.03331169134420502,0.044563830497291734,0.13430270873693306,-0.07804444755107101,
2459147.0987171666,1.0009404342058064,0.00041540936833773265,-0.06711888765883185,-0.15216640283125488,0.0015381813763239993,0.15652515445552484,0.10590185110684852,0.0020433113554640114,-0.058923718477843806,0.044109173157652865,-0.03623722053455322,0.013542552965593285,-0.020059179514270137,0.043426163953881824,0.03455703710962979,-0.028371843212319794,0.007992432018127438,0.06899459053365901,0.0431854805819534,0.06885161625400865,-0.022947504729874432,0.10596916801855255,-0.07149514141813756,
2459147.099411921,1.0001154583269631,0.00041526231190167735,-0.03536741282439715,-0.06819769608755855,-0.021016427467882792,0.03178302739965045,0.06619136392756797,-0.005922915326261248,-0.03929484844449462,0.03887979817804586,-0.07924140397129972,-0.045515547046164805,0.02603476791051748,-0.016524643027170605,-0.06961418503275033,0.11663017021527416,0.04393212896355313,0.0035071573170663978,-0.06690149042216031,0.035846559561738836,0.03932517481662673,0.014798489638461143,-0.06853131870434225,
2459147.1008014306,1.0001360555441805,0.000415248424955783,-0.08200102394277507,-0.06715452918499429,-0.15117128085732476,-0.024113656365772895,0.017984744849721998,-0.07998822041720909,0.0372252553750608,-0.045043318703505156,0.06376606816224933,0.008410872695234634,0.09361467341220205,-0.0663640997360472,-0.005886827751888701,0.048077752207002666,-0.16601149818016375,-0.07029513015093175,-0.048618397364866464,-0.0813216369937041,0.0349248967395283,-0.08596044866726693,-0.06986380382537918,
2459147.1014961856,1.000428301606793,0.0004153394675269852,-0.06556888288214976,-0.08651641198458039,-0.20050788457146998,-0.1193893527111064,-0.005010913508874671,0.04174373435437047,0.05031724031419013,-0.07050085483594104,0.013714922310507763,-0.04318597787148151,0.016141175691292434,-0.028748354045693647,0.1266579302647542,-0.01892767308169971,0.05298220322678378,0.017254795448126192,0.06430270061994486,-0.021793726046904882,0.0779550294391912,0.049515116996934165,-0.07444127190810229,
2459147.102190929,1.0012681915672912,0.00041548791737860323,0.05637724528518946,-0.13647846572606415,-0.2253539848431627,0.027830143865161083,-0.03392594428975512,0.0026952192879180076,-0.017868602869272977,0.07208901731506676,-0.17322442584251543,0.06263071586841076,-0.006068567086707638,-0.1322339408856288,0.006468611227971766,0.0005505326582446505,-0.012207875900693839,-0.04410450954249098,0.05533946464340311,-0.01242815291767696,0.0001877400797745538,-0.040002521850980154,-0.07109348441459001,
2459147.102885684,1.0007502596614208,0.0004154146240018526,-0.04504011382286945,-0.033433138894975165,-0.07680593241996975,0.05600405232233319,-0.028766268177939584,-0.06956806630413959,-0.08210959970295863,-0.07112775427336726,-0.05457375122868809,0.06859436582312059,0.010231307528343461,0.07281601686396488,0.05690282986819628,-0.09179540707340764,-0.012953361467805444,-0.09454295808594033,0.05147942924707816,0.0612514560610255,0.07293422998641565,-0.010958924229368252,-0.07250326268437511,
2459147.1035804385,1.001001552142142,0.00041546154132919143,-0.09684154412966921,-0.022592802863899062,-0.014243600865542586,-0.03970130417463359,0.07800064619447218,-0.12470022756111412,-0.05536396611561583,0.01908612163598475,-0.004806492959308059,-0.048817477949027716,-0.021014701288836035,-0.007908378106251501,0.00454111503862803,0.030530959836122723,-0.023362574842324384,0.08174121164874537,0.06327644657549159,-0.026416785044930002,0.04910476517475222,0.0758999055099287,-0.07056758589828423,
2459147.104969948,0.9998415955155354,0.0004152394121156772,-0.014108953713396518,0.03041090428034754,-0.0573014548661517,-0.01000771244338658,0.074328394256219,0.02470971499241179,-0.20213938568301199,0.05065222106241869,-0.009019366939529691,0.05501480816169191,-0.0016884576296977427,-0.08421476082766985,-0.020361757383177692,-0.03743495333095488,0.011375090010623659,0.03537437269474131,0.055310215922501633,0.006195582297943425,0.038882763861611214,0.056120281853864175,-0.07074624421460371,
