BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,
2459184.809589101,1.0009711226135272,0.0004153671565161784,0.00569796954441853,-0.05753124929146094,0.08230640078069319,0.027974746766602585,0.10598614994405131,0.04753844553098365,0.042363025814798026,-0.017813200593681782,-0.03988492301228403,0.08519754275753876,-0.10605422374646044,0.03676461865638037,-0.10383660571898184,0.01037530624112318,0.02794104684092944,-0.03289018197330359,0.2808403300158374,0.0501145494177499,-0.017122342050635966,0.02293220704863395,-0.03196092112244971,-0.00414775401272722,-0.036854419357203606,0.10941533130284249,0.008857078694404445,0.057357135351758105,-0.0038041937315534203,-0.06307912053663155,
2459184.810283825,1.000183039455289,0.0004152272051894824,0.0730434440480431,-0.00663290406729273,0.08328071556728753,-0.04007355510449192,-0.027170264206487105,-0.08184674468776501,-0.015381304733992778,-0.020856773019797086,-0.02877320062569616,0.04359311520606886,-0.11743495026083582,0.012881665802646484,0.11104094750875444,0.01836152368886149,-0.02601779215766709,0.05490531583237409,0.17220630247107818,0.08461074658653056,0.06300432025744437,-0.01808100080005459,0.042249227389362265,-0.039581890083234234,-0.14267350205356613,-0.0776123215530693,0.021475138465923437,-0.0587387118218185,-0.09182690483080959,-0.07247569390805186,
2459184.8109785374,1.000027082083414,0.0004151910624366985,0.1109187925713989,-0.030659545747804516,-0.021841987591112694,0.012524562687064792,0.1023327499281782,-0.05417982344284006,0.023725749181573705,-0.07822592325552363,0.03509079013526696,0.01979023670776237,0.0030630357117025463,-0.0027198489582984653,0.11242408949064006,0.08394162051307572,-0.009083210881632414,-0.011257065079117862,0.06565547241189779,-0.013980897420330787,-0.0783020081644581,-0.0018687212312188625,0.09597172887055051,0.0815744054007094,0.12944313572662092,-0.033774616730538554,0.015294551732619694,-0.05159737588900719,0.006851197041049136,-0.07202939263420031,
2459184.8116732608,1.0007215704828947,0.00041532708259137455,0.10483750978050538,-0.10202844847410501,0.009830765851442824,-0.03732706655219262,0.0028214558661289434,-0.08844450523990764,-0.20305393870543945,0.027002770499843193,0.09206485698825936,-0.05226568844141527,0.0025644703256190414,0.011104140899870607,0.043539827956389866,0.0670197923950682,0.02658987466808884,0.04481647695481075,0.06920668243232131,0.05712956460198049,0.005698641255154068,0.06653309763685433,-0.05590996182372727,0.05647962238071334,0.11881901752669265,0.06049929045590963,0.041205026428746024,0.07040113279243085,-0.07847947965309987,-0.07390503893206012,
2459184.812367985,1.0009540648555015,0.0004153620244651819,0.0449036355282324,-0.13722207425270982,0.05893766343983972,-0.04426865520332481,0.09694943660408602,0.040229774137805534,-0.002567069530491882,-0.03784716271598033,-0.06338929691379452,-0.0300449004679635,-0.1010196903982766,0.12951308931517747,0.10248535225593798,-0.00574163662097988,-0.16216253509820183,0.01116144272133468,0.08167409635598044,-0.09068436795706979,-0.10267693896796826,0.04629796111749146,-0.11452144740766831,-0.12154618292208066,-0.0015374142689632312,0.11894577133563812,-0.16528588906862152,-0.02904726652171616,-0.00016547501960009758,-0.06828309142195421,
2459184.813062697,1.0007644337079005,0.0004153240144866872,0.07797944476257801,-0.06783290096794811,0.05419899239327167,0.06525184308214327,-0.017570834483938483,-0.01655144458005823,-0.03439359161018761,-0.08347410298747049,0.10227614149480431,-0.022587527732489707,-0.0034370168405519906,0.08019662087564099,0.09936121596271283,0.01210419985155785,0.01782004937353333,-0.027295859667961997,0.03582386068818885,0.1218964274381529,0.030272738768630982,0.06061955459147342,0.013045140973540191,-0.054191874528889905,0.012694205829342676,0.009128299864104742,0.023790442617701836,0.005844630206985637,-0.04249938781781478,-0.06984048467479421,
2459184.813757421,1.0015317583500825,0.0004154649588686467,0.07458753473547863,-0.06614776287970187,-0.02809695106634935,-0.11928241629330567,0.11448139923205164,0.08298963832673356,-0.10736625337273933,-0.10897509258544581,0.023565331534666712,-0.18795900287550715,0.12269644566107993,0.06955369984294427,-0.0984320331088552,0.050645987565280354,-0.13913322062649172,0.13059729329100833,0.01789603746808438,0.2019582427347329,0.22077197343438723,0.007727511203406978,0.008607258732401465,-0.052682136160407116,-0.09040301143834945,0.06796552188898902,0.0986539079467722,0.006895324892621798,0.0024515650031421672,-0.060534780397840125,
2459184.814452145,1.0005816593325345,0.00041529683008099174,0.047386219691899295,-0.010816544209653722,-0.021240396312695253,0.0036137640227745793,-0.04722541003134422,0.05893396695377545,-0.03607700038385385,-0.02261270067233578,0.07330893714580515,0.10959987107639757,-0.011662983815778162,0.018763201825774314,-0.060562882460917525,0.0916271816712609,0.13146042222714405,0.012399697485485417,0.13516509075313893,0.17675266644805757,0.02066417433841576,0.09877466992323196,0.03735092311078647,0.07553866746132994,-0.04609404206729284,-0.11730732073149437,-0.033050272382518515,0.16034245653262,0.012412858569566114,-0.06731360923299771,
2459184.815841581,1.0000581935578328,0.0004151915499071525,-0.023620779670060356,-0.050263662998964564,0.04598808321061973,-0.0743718446388975,-0.015832131692789048,-0.09540720591461824,-0.04380358718648925,0.11649822094078227,-0.0661063595515002,0.053353895562374076,-0.019075272288315633,0.1349346958255419,-0.062340082448894496,-0.00120486221992145,0.009947546854781688,0.015214353239506232,0.14858832141953307,-0.03230819320608948,0.052237517203923944,0.018665391572904595,0.023005219798094723,0.15191242117196177,0.01351131583858868,0.05795652931521294,0.05212150056837077,-0.03991215199077756,-0.08494625279666232,-0.056904286261008095,
2459184.8165363045,0.9999260825049643,0.0004151661194908692,0.006138810895790025,0.014975694105971507,0.08209046937367925,-0.048198820257279534,-0.004533611891736136,0.030990687708347994,0.0920550920041017,-0.0288184353556052,0.09702191257183486,0.035550506493056966,-0.032181589589253184,0.12570570026579467,-0.05940524289536084,-0.01603624523551278,-0.04371051448745275,0.1611829185602519,0.07372116260805325,0.04520830206853524,0.10895516497252389,-0.03053508724458298,-0.05616543809204566,-0.048045600300435476,0.047141468947164415,0.01679644632134919,-0.10788658755076272,-0.006486000735415269,0.02771774422998314,-0.06018566096728485,
2459184.817231017,0.9999549022658292,0.0004152031262360195,-0.009234329402055036,0.09757720124821095,0.19950993968684352,0.11764551136435658,0.00665783036854628,-0.04122158916297337,-0.001973417066576319,0.08955927226118791,0.11001582198120731,0.013506808483253474,-0.07272715187220143,0.16806195504577123,-0.08860656094111986,0.04999868225360196,-0.039102633043374115,0.10797721419015734,0.04962857408681324,7.555248928120539e-06,0.0697940915734718,-0.012425113930203069,-0.12877777237290777,0.0004392852440887052,0.08079641832039267,-0.00037456995619516986,0.08751597409989365,-0.014796547206048907,-0.02787974176474368,-0.06026967012382171,
2459184.817925741,0.9997704615167916,0.00041528720427258954,0.03965906402119788,-0.03512312500592338,0.01536649245412436,-0.08196044269418576,-0.09895813639203196,0.029733978078871057,-0.0433202665765801,0.03325997569529708,0.05078829708933095,0.09494794703706144,-0.005621460524249694,0.11711635944807865,0.11360604233224134,-0.016770549223412097,0.06060018421623955,0.028656480202995566,-0.0019155922792741178,0.07022177670753504,-0.03258327344619988,-0.09314138956774812,-0.05836392387404303,-0.004149792117368595,-0.011795930792595243,-0.1212499689935248,-0.0720505519129886,0.012541980368620795,-0.05599825451928575,-0.06722427308179747,
2459184.8186204648,1.000335814588218,0.00041553012906905433,0.06591283175166332,0.13976091450325978,0.020315915007020166,-0.004299353721387483,0.19924545065792076,-0.0002125674459151905,-0.016275419329979446,-0.0770134120655812,0.02804792230237424,0.16177169385989673,-0.07252851618039252,0.08588146436326079,-0.030355940518171975,0.0027823986727696023,-0.05703836286102781,0.11434976385609283,-0.05881794873419008,0.08752481018736151,0.047948464976977356,-0.0896290756726883,0.0361769592915846,0.09389787112527212,0.046048829924716594,-0.08786378952072083,-0.12432580211174639,-0.004518475403236882,0.010205713984577869,-0.06570005847934303,
