BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,
2459160.4839781,1.0004616370138322,0.0004156957523464704,-0.04225546059867613,0.26061151139555844,-0.06151457845050199,0.06395387397810133,0.06864980565736645,0.07108264826825046,0.12140992904438525,-0.11896156223286448,-0.08482376413752708,-0.0807762460848356,-0.11760727462581676,0.01274776494303224,0.13732835661433357,0.055209888320786694,-0.1239124133276859,-0.016434607051880636,-0.059280380976219085,0.17384243401667757,-0.08332114194177669,-0.04206322839968169,
2459160.484672843,1.0001938829268169,0.0004155511821589656,0.06174146673155997,0.0779888781318159,0.03418212252208312,-0.06993781619228548,0.07759127498796894,0.01949200503502639,0.07847828549440003,0.0349737914050289,-0.0012441204141333219,-0.0820139673435879,0.017058010687496346,0.11863949484560782,0.07749190162773617,0.003135852590380785,-0.09112147860529926,-0.025752070414779844,0.04354441924271749,0.010940784409127742,0.01217374116910602,0.02087083540725042,
2459160.4853675854,0.9996250109300842,0.00041539889441428654,0.0919600138750122,0.036767514305565546,-0.10772257146828972,0.05212963874732024,0.16941688707836108,0.14451415159096573,0.04379507494648534,-0.001992829793096059,-0.0040459394390346855,-0.004163552781813301,-0.08404691995563437,0.1106968098007214,0.027603155172019014,-0.1434156063413337,-0.13251961766804388,0.09517527788121181,-0.029683470024132297,0.07660621641277299,-0.04760494448585502,-0.10616984057346973,
2459160.4860623274,0.9999061848140277,0.00041542722668886446,-0.09325476018211218,0.015736614326434528,0.06941394687161749,0.036764265739484214,-0.1367445237942325,0.14042677101729423,0.046582895681466285,-0.016299988604180412,-0.08950994326768612,0.02974021313311754,0.1018051578272556,0.16883595801222132,-0.04708404966719063,0.10214750020853496,-0.0689680481508746,0.04210000686833412,-0.08813821896311883,0.09844744915352133,0.003983244593326142,-0.13362180270231086,
2459160.4867570587,0.9996896680689332,0.0004153518271272491,-0.011092060128934031,0.0089556015908544,-0.12049209718287276,-0.18196910750862744,0.15495859028353026,-0.08131661183916017,0.016277763508419727,-0.15232183231457272,-0.07795855425752907,0.1578475383994378,0.04541431366509922,0.08135921285654228,-0.08340540054409819,0.16042606203071902,-0.10249021895611382,-0.1502257890353143,0.1030549235072521,0.006616856475351707,0.12379933095982194,-0.06347874740325225,
2459160.4874518015,1.000462117312796,0.00041550317130300277,0.0674374050161848,-0.00787508042374152,0.08546814111504049,0.0018516427434610433,0.004760160126214611,-0.08860253633040047,0.026770579333022036,-0.0594366306146354,-0.104364286637643,0.03278779205912219,-0.04664097967559974,0.00400436903594454,-0.05769558275762522,0.05403158104690658,-0.030146766006892867,0.09611508148548736,-0.09444282421654548,0.02652331357924964,0.006917567830132756,-0.05924811310377319,
2459160.488146544,1.0002636489024572,0.0004154247268641505,0.053814674244092434,0.06616892733121088,-0.042471694029236416,0.05837297652175023,-0.0343166316199979,-0.014164619485760283,0.025641112142199267,-0.0900332392483963,-0.03131757090419636,0.03348632077479161,-0.053641541520717845,0.03220244729957051,-0.06241550826212486,-0.08345477168367604,-0.058520021877261796,0.04045862671338591,-0.12723562807524536,0.09133926358289302,0.007604567756785495,-0.05195116792211863,
2459160.4888412864,0.9991641396919968,0.00041521824076136817,-0.010466835431686063,-0.0736350456760328,0.05881000478042629,0.005853810058481133,0.008458663168306693,-0.04561313311908233,-0.08040607256069285,0.03978525156625956,-0.05179505568021231,0.053105230462149385,-0.08606811006971282,0.0901374513461951,0.028044567238573098,-0.10391962958378521,-0.07368454648122938,0.026114694732680528,-0.08442975994643553,0.04462733620431329,-0.04199837289054567,-0.029216302298281063,
2459160.489536017,0.9996557425748371,0.0004152897494052128,-0.03222701305410546,-0.14123184917175316,-0.052852089645573336,-0.0016806079833086025,0.0816851702538518,-0.08025959046265616,0.03775755968555966,-0.06581499845603159,-0.030756671550634718,-0.0782985588262077,-0.08202521463941011,-0.04246992003761618,0.02117197489672186,-0.02914646749153742,-0.08611083211547099,-0.0013955448027498877,-0.1282855301846537,-0.03757229902376317,-0.04898608211142694,-0.054511336822126236,
2459160.49023076,1.0009207551891037,0.0004155390149854601,-0.0045967928454935525,-0.08398827303834272,-0.039590443763420816,-0.03233622405396633,0.021513404721609314,-0.09142965243675194,-0.13405679656203634,-0.06373169256343073,-0.04813434621013937,0.04888415421147704,0.03715251761479785,0.0037693714753277985,0.14348409787985117,-0.044090590428089035,0.022035684709282813,-0.1587003449747149,-0.15418015964121506,-0.0077275878979258285,-0.17043211490891355,0.01045696052100114,
