BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,
2459150.7305776817,1.0005510001463298,0.00041552696162061787,0.07292314260816857,0.09620318365634901,-0.12249350378824912,-0.0007069044719963817,0.05155058762723008,-0.03178075884060882,0.007632211358392947,-0.004031909570085401,-0.11620984646198979,0.11421111319022592,0.0813963797381381,0.08122693751795702,-0.028443402305701918,-0.04932917814653281,-0.036581766623920806,0.04991237857112123,-0.08410884992537197,-0.015376782734942062,-0.0038098038811406,0.02761847529130523,0.04107501460380199,0.011914864891778116,-0.03295743707197556,-0.0648126507016321,
2459150.731272433,0.999893934860235,0.0004153285783644631,0.01844263844099369,0.09682229686751416,-0.12231821803435132,0.09700395593439504,-0.02842105204105999,0.04866370047107782,-0.012772544239129218,-0.06758943360408437,-0.02382988815664419,0.09040268174499258,0.09945970607802224,0.038134217045798294,0.09227514980210667,0.05410996542693876,0.1055430116117141,0.04173417235631893,0.04493484707699432,-0.012022637874421354,0.14019402027939598,-0.05861651081578306,0.06985782627857245,0.03281035272641593,0.060673243383004595,-0.068866766941593,
2459150.731967172,1.000343766777486,0.00041538002153736003,0.08518879443115723,0.0002265572168961838,-0.0503573719032174,0.04681428148405052,-0.040333238128916205,0.0345316248908768,0.13486220649604716,-0.0823999156840416,-0.0266824321869674,0.09213075653823409,0.07308525037041473,-0.018010125070972285,-0.0499462694108471,0.08089051956677568,0.023662715836161148,0.027154724619612984,0.10976817882755321,-0.008059290419440578,-0.02010958847983699,0.11872547514655359,0.030685542968860252,-0.03547457432154684,0.019777555231450056,-0.0657317690927759,
2459150.732661924,1.0001931305165994,0.0004153158911386482,0.043217339421923184,0.0520623322231607,0.007840058003145512,0.04050347956506382,-0.037492912630965214,0.07857362198890683,0.09432416056844774,-0.020127647447394925,-0.021504256130611927,0.031614371708830365,0.1148616303923025,0.008866794228393843,0.05874425003199824,0.0527542463023432,0.026639255140266643,0.027173230994112087,-0.017091334389174935,-0.10154433401744992,-0.13027318198565072,-0.0802552101710488,0.07404632404515077,0.049081408610563225,0.08931394701289329,-0.0725467057911964,
2459150.733356675,1.00002842329922,0.0004152938196470298,-0.029307787770037064,0.001899755622111865,0.07822820094172996,0.12202098669354602,-0.007673344913937436,-0.01931836604163728,-0.06162740151960735,-0.06768098233404626,-0.044171542657697294,0.06970498768702105,0.10794111039057597,0.03610123816548111,0.028831062293576015,-0.03340265906234867,0.05335108788019894,-0.07897152838300907,0.05484989516111546,0.02388427011125207,0.007257556906814467,-0.0385299777978993,0.10530761233489873,-0.08905597243665124,-0.002550948636108212,-0.0672068399884374,
2459150.7347461777,1.0000751189137025,0.00041530070033245903,0.045054885339722794,0.08210341525313697,0.007023520601429203,0.051824120649158735,0.038894055458246264,0.08112359164658901,0.012269209754412536,0.03380544056088486,-0.08108616471643262,-0.10856220114271718,0.06302824963041914,-0.05682273366990398,0.04321953933460687,0.16874119131263457,0.04298214587797469,-0.1021367429797832,-0.03413157656703228,-0.09673659452151624,-0.010919184347191843,0.1600284665657299,-0.02844192556677885,0.022192333676839864,0.0680783906999829,-0.07053251792830999,
2459150.735440918,0.999655384519104,0.00041518977895634723,-0.029080757727477174,0.008997095230499852,-0.07641018696056043,0.167095596333538,0.0032724978665659397,0.00579610747946024,-0.0018499233494831376,0.030639711727325665,0.07446940124156223,0.058850039050235975,0.12363957923551303,-0.006653488750859471,0.02668472851858192,0.06712961046498207,-0.10578024308314234,0.06649851624360191,0.03779048819141198,0.0443948646545563,-0.03104252691159454,-0.08016038525772558,-0.071833066488403,-0.13676112142061012,0.018252366566418154,-0.06702017236262077,
2459150.7361356695,1.00030724907564,0.0004153404870190239,0.06170261768452833,-0.05622465910995614,-0.03078325281748584,-0.02932779932087764,0.13629081971512225,-0.039160014782278894,0.07111698864158059,0.07750294362683313,0.04670238449053027,0.06418262703343908,-0.056928607863759695,-0.015007548160953399,-0.008833777551457936,0.17872607807931976,0.09495989944322294,0.1770373263327043,0.019737906813991735,-0.05839886463828796,-0.03634890276080353,-0.08284014721277971,-0.06654129536009992,-0.08035316205894888,0.07119084850776347,-0.06507036380108303,
2459150.7368304203,1.0010659778276734,0.0004154840780714402,0.0077389938483979305,0.04122050665037883,0.1882541828879472,-0.005196193688669443,0.007169034310807759,-0.06459788154312188,-0.11509805410871814,-0.08039425912706684,0.10450983521730961,-0.1298403335894726,0.0805502959695624,0.03816563313085207,-0.22520284111141892,0.2022363035628808,0.007007797035259153,0.028711554245653644,0.1158012342169723,-0.10131206627046563,-0.16374554773119052,0.012455534428340256,0.0746747146485632,-0.09651249754428054,0.025596484372890763,-0.0646188590240613,
2459150.737525172,1.0004234144965467,0.0004153548235306573,0.06907450052628801,-0.0025015516620435917,-0.047337118903658215,0.0918897608662288,0.02020542624126176,0.03420670926704045,0.034931860565817374,-0.11710047406298721,0.06606336449831976,0.06350436472802146,-0.006910254450693251,-0.07713580177790756,0.05751856950003849,0.07964787209502056,0.06388137898364642,0.006557559370906657,-0.10272158642924355,0.03729525308733925,0.035140890482114426,0.08713250182772812,0.05975077606143486,-0.009637462921183513,0.07013888255409685,-0.07383573563418207,
2459150.7382199233,1.0007165070162287,0.0004154075559879248,0.07754621071319368,0.02906513424777222,-0.11096175088717355,0.01598403253644215,-0.029969066056992552,-0.06767464903267402,0.05953414268230239,0.03557225895137908,-0.002533617062942556,-0.02851623928493313,0.020426522201920955,-0.141756276315575,0.053072047938278105,-0.09154939071189255,0.03700752500027623,-0.01263016866401459,-0.0564734772768371,-0.04195232237326074,0.0277341446879584,0.07783724193836924,0.050149105150651935,-0.0019054444302128472,0.03602573275691333,-0.07018823819758402,
2459150.7389146634,0.9997591370392384,0.0004152056548951685,0.09070066229310364,-0.042748687693072177,-0.00015350433044204748,-0.0061584385704286145,0.05241280880546498,-0.018092071754509775,0.04578640348986041,0.0644061133633575,0.10041447170536377,0.07051866126202345,-0.0060110232845157485,-0.020710280347641337,0.04919551680277977,-0.023294741890205223,0.11261103801866004,0.04085852674277947,0.06926881726771988,-0.11407118353498885,0.12288283153676303,0.02935841893035089,-0.025624522553532036,0.10935215522518053,0.006071575840832146,-0.06340621304254107,
2459150.740304166,1.0008419814878848,0.00041539462083219774,-0.016489503823564414,0.10259683481432723,-0.060931853680247575,0.12299406261486848,-0.01522035676895478,-0.009093509058262948,0.024495894817344155,0.004384132873642038,-0.008466108654816784,-0.06541410218413382,0.0048014315045623035,-0.02219321368190033,-0.0062911580007825735,0.0022877670580124104,0.09216856411300645,0.04422416422272213,-0.029664730720389554,0.006846461714569822,0.07308154112637505,-0.09585932226967285,0.020269456155347622,-0.038020497325564034,0.03329436540911497,-0.06629599022565034,
2459150.7409989173,1.0013092908403438,0.0004155031697164083,0.13006482042662512,0.06798455023836035,-0.057534913090245055,0.0707389546944129,-0.041621825524318215,0.019942668897348192,0.0032226217748749023,0.013458602410587868,-0.007140476431539894,-0.04857991893951748,-0.004492933374464214,0.06359460020748575,-0.07050789266565743,-0.07806047852608436,0.20265433167221342,0.04133180303510595,-0.012871045341802057,0.0666555805403498,-0.08941418635453817,0.10135214069083932,0.1019401021574157,-0.038104065528492166,0.010209897825385505,-0.06535891568067988,
2459150.7416936685,1.0000695887400393,0.0004152431406927519,0.044264076379169764,0.12837490841801186,0.1401566635787464,0.07046290413996323,-0.1349398523244014,0.021240240592077155,0.08354472133564993,0.05417877006749866,-0.058776453825095776,-0.11622399411813136,-0.04717746536105599,-0.00391620735744507,0.03916398345778446,-0.13512811012996612,0.007405542972651724,-0.04643773973150875,0.024046177794222356,0.11373031909602785,0.012824778876467135,-0.05260929259584049,0.041964913670584636,-0.1225858539783452,0.12590792326018288,-0.07018220922688252,
2459150.7423884086,1.0002772414767207,0.0004152754039418418,0.03130811635505332,0.09660024355477519,-0.037233584180155266,0.0428560819758699,0.009807865607336319,-0.03202336207935454,0.03261225236219411,0.03276102234107023,-0.028139419096070782,-0.10869682896239527,0.07274876667280755,-0.02150814998803282,-0.0101794866993839,0.047155801472459735,0.07994543542545274,-0.08350317835772036,-0.057908062854215014,0.049860390391684474,-0.06971458864474817,-0.09816307518466554,0.11229611466863698,0.04608196723143108,0.09119499727474588,-0.07079157891177543,
2459150.74308316,1.0000504440682987,0.00041527894698012983,-0.03144688449343062,0.11578997883247243,-0.08004012549043249,0.08165342126993298,-0.05942197226341065,-0.07095151766763855,0.025915080544391737,0.01046907727390797,0.03291136939537348,-0.008475443827319969,-0.0014931755625522958,-0.045917704994908486,0.01671142633799841,-0.011631747666259407,-0.0645398158492484,-0.03176175847301299,-0.03162910903147262,0.02108421751074626,0.08248179967836057,0.12328010385612571,0.02145224808639825,0.011305839891045541,0.03137145305731344,-0.06982262351572659,
