BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,
2459125.177973076,0.9989834915585973,0.00041491850424629946,0.07793314957801395,-0.02865453653545955,0.12948655486620736,-0.047384025648433574,0.1461373453643259,0.07937172911095533,-0.09372621538244508,-0.12250368249556337,0.06403576236732052,-0.1497531867137037,0.047734732564953045,-0.07169307324217385,
2459125.1786678513,0.9985883357829201,0.0004148143871748499,0.13802243764371003,0.03145590673070703,0.11739637510084984,0.08229430849581092,0.19922839964578187,0.09704505326115842,0.008324807935484548,-0.1015136694587936,-0.031101500015451904,-0.09506943550302918,-0.04098867400746867,-0.08762873023908213,
2459125.179362627,1.0008572114276473,0.00041521340161484647,-0.11028334254723957,0.008137626158904067,0.08614439644949667,-0.0728503443944908,-0.009630136879423684,-0.06523990946615953,-0.03719081781222774,-0.10464676189550123,-0.03765085962203303,-0.02574086612730194,-0.016913985684317838,-0.026765266320296677,
2459125.180057392,1.0004436716143528,0.0004151235802507371,-0.056947101638285084,0.04501834563688423,0.08754652143591307,-0.11563700948871017,0.01303110050567724,-0.08004495380145289,0.06860283437513727,-0.15362388444619365,-0.027147769616030742,-0.11405828115886621,0.04901955817609874,-0.07783248554402575,
2459125.180752168,1.0009701879070985,0.0004152128475771995,-0.11271059273334258,-0.05626443774981786,0.1072155692052048,-0.013835839637989107,0.08246479833623682,-0.030225227780011372,-0.005717899153235728,-0.05140991602026551,0.053394540354721354,-0.07273608050034541,-0.06724826690182796,0.036880164554589326,
2459125.1814469434,1.0005595365388942,0.0004151197932171628,-0.03415687251253688,-0.08368016512645474,0.10460730168879036,-0.018032173030508074,-0.01780349513889501,0.031977268922897484,0.011007419882545423,-0.11943503233125027,0.1316880779521641,0.035239582428471694,-0.08357760823907023,-0.011947626370195141,
2459125.18214172,1.0003938582586804,0.0004150863729403086,-0.11689534655169814,-0.12200483350331799,0.10873409825024224,-0.012913639462181666,0.01484391285868842,-0.010233703792970172,-0.004329363443152226,0.031699990312881454,-0.04186023960638763,-0.052831487013176054,-0.04991338474536883,0.01291300334352763,
2459125.182836496,1.000694331024742,0.0004151125740294739,-0.1055749188811573,-0.03818930253766188,0.06351568312997141,-0.077798694249964,0.0117790777386238,0.013470742367185734,-0.06540563526941215,-0.026716807862694425,-0.07029227611970981,-0.04406704116198318,-0.0666589271564962,0.025231373884324865,
2459125.18353126,1.0006607742972489,0.0004151159492410307,-0.006059299987481961,-0.025397013041940253,-0.09168618849546402,-0.0004132965067720415,0.0513469080492699,0.001704150347341199,-0.04398520737819486,-0.11325520234307411,-0.07614869084349463,-0.013379142974703662,-0.04989788510601395,-0.10796782020181758,
2459125.184226036,1.000602160244064,0.0004151078360414305,-0.02091083157423873,-0.09470930658379295,0.06375634374111719,-0.055631463670803905,-0.06596900838285247,0.016624764260550998,-0.013618402955996645,-0.10991471627390192,0.028578850407837586,0.013432488823797134,-0.06567733286926525,0.05587172088752988,
2459125.1849208125,1.00074663582775,0.00041514185764033364,0.018370253285329485,-0.150342129256672,0.06739805974111464,-0.08445096322319327,-0.057968787046464416,0.12169071776829256,0.05356457651520123,-0.1288034271687063,-0.0175836523477456,-0.016287274252773404,0.035245600692048934,-0.07367382978552828,
2459125.1856155884,1.001092213280384,0.0004152122276123576,-0.0546195460626519,-0.1271686536031156,-0.020124534738683763,-0.05083117551162983,0.021252520830944838,0.024151521517486924,0.03888951457637427,-0.06399565933555702,-0.03821062178127806,-0.08015974171521571,0.048137830941246684,-0.07839552526488158,
