BJD,flux,flux_err,flux_d,flux_err_d,cen_x,cen_y
2456182.4820958,0.9960636782460778,0.0009235626046587689,0.9908973971242955,0.0009187723646837158,15.3408,15.284
2456182.4821192,1.0083482320951969,0.0009288941042523561,1.003575931753431,0.0009244978436054,15.3389,15.279
2456182.4821425998,1.0132596349722098,0.0009329833126785053,1.0086146084598457,0.0009287062921860195,15.3336,15.2773
2456182.4821659997,1.007220253502188,0.0009300134603563494,1.0029427066477532,0.000926063801740871,15.3403,15.2737
2456182.4821894,1.0024065375024158,0.0009267136244428428,0.9981175202179983,0.0009227484759684086,15.3368,15.274
2456182.4822128,1.0022562287907557,0.0009280044426090086,0.9976070602210673,0.0009236997059925902,15.3411,15.278
2456182.4822362,1.004207274635601,0.0009280756155404764,0.999713135850429,0.0009239221895250292,15.3403,15.2762
2456182.4822596,0.9961400432724692,0.0009238052396524091,0.993100273123903,0.0009209862027011797,15.3449,15.2607
2456182.482283,1.000285048903689,0.0009253483982119608,0.9974055044451224,0.0009226845756793387,15.3439,15.2588
2456182.4823064,1.0048464421983756,0.000929117328446505,1.0033623401304297,0.0009277450740496091,15.3493,15.2436
2456182.4823298,0.9930353779013246,0.0009240187584468125,0.9901603440178051,0.0009213435413310269,15.3526,15.2591
2456182.4823532,1.014841555330348,0.0009328603776150611,1.012593729667706,0.0009307941363526185,15.3539,15.2517
2456182.4823766,1.0085425032080657,0.0009309257679324366,1.005928473385108,0.0009285129120412919,15.346,15.2557
2456182.4824,1.0022320321855076,0.0009278879778120614,1.0003144207654717,0.0009261126119031448,15.3384,15.2482
2456182.4824234,1.0093961455302853,0.00093164720264686,1.0063534251077062,0.0009288388483820999,15.3453,15.2603
2456182.4824468,0.999644206582205,0.0009265551029136646,0.9973001581192916,0.0009243824398296508,15.3455,15.253
2456182.4824702,0.9883401740748211,0.0009220226812324658,0.985001609853014,0.0009189081342212216,15.3475,15.2643
2456182.4824936,1.0081798684216492,0.0009307704815365069,1.0044099839630558,0.0009272900538045434,15.344,15.2682
2456182.482517,1.0054974052581178,0.0009299293468918875,1.0025609867081562,0.0009272136145885644,15.3472,15.2593
2456182.4825404,1.0056305287935277,0.0009288843988526104,1.0032686541683953,0.0009267027740624766,15.357,15.2532
2456182.4825638,1.0093333812702467,0.0009304663790111444,1.006063634516539,0.000927452122791483,15.3556,15.2629
2456182.4825872,1.009970260042259,0.0009317248458448249,1.0071173481609743,0.0009290929575725033,15.3431,15.2582
2456182.4826106,1.001907601595464,0.0009276356374186756,0.9987209413167438,0.0009246852060274174,15.3515,15.2622
2456182.482634,1.0069310656922792,0.0009288358718538823,1.0042142545334065,0.0009263297701480234,15.349,15.2569
2456182.4826574,1.0106224714712204,0.0009323071698295614,1.0078325140321664,0.0009297334121728939,15.3503,15.2576
2456182.4826808,1.0001699917568267,0.0009270080215684596,0.9976048418786069,0.0009246305112119869,15.3385,15.2553
2456182.4827042,1.0086112180856313,0.0009307090140047846,1.0064240296144062,0.0009286907576251261,15.3471,15.2511
2456182.4827276003,1.0102016468547474,0.0009315566189159011,1.0086198843827392,0.0009300979979515226,15.3517,15.2446
2456182.482751,0.9902671863453628,0.0009222556108263605,0.9879496007979877,0.0009200971971132644,15.3563,15.2531
2456182.4827744,0.9958249689265508,0.0009245396148998267,0.9934266870416588,0.000922313012153895,15.3461,15.2537
2456182.4827978,0.9962880384494182,0.000923381437196851,0.9931406186150509,0.0009204643399940751,15.3395,15.2618
2456182.4828212,1.0071966897185707,0.0009287226421901836,1.0040173576808988,0.0009257910224970614,15.3415,15.2618
2456182.4828446,0.995182299619203,0.0009245849067653063,0.9922647883511624,0.0009218743612855682,15.3383,15.2593
2456182.482868,1.0065496059600851,0.0009306766626722994,1.0035868698928232,0.0009279372553950713,15.3362,15.2594
2456182.4828914,1.0019610150922131,0.0009291432095124934,0.9987360031623901,0.0009261525762542562,15.3431,15.2625
2456182.4829148,0.9990612894888065,0.0009253904549441917,0.9962954014309172,0.0009228285236241177,15.3441,15.2576
2456182.4829382002,1.0051557617444888,0.000929117328446505,1.00163018078518,0.0009258584520744989,15.3464,15.2657
2456182.4829616,0.9918551046380288,0.0009229705752742868,0.9887405668076023,0.0009200723427001737,15.3473,15.2617
2456182.482985,1.0027042345093797,0.0009268042081738019,0.9991387850231008,0.0009235086465573386,15.3516,15.2663
2456182.4830084,1.006965800800496,0.0009298646442269168,1.0037537482358416,0.0009268985314623162,15.3442,15.2622
2456182.4830318,1.0077477648008568,0.0009300975738208114,1.0032376083833403,0.0009259349393918346,15.3474,15.2763
2456182.4830552,0.9989430419712853,0.000927457705090006,0.9954028528415654,0.000924170855341941,15.3393,15.266
2456182.4830786,1.000202182817109,0.0009286611746584615,0.9969287617217897,0.0009256218900700506,15.3438,15.2631
2456182.4831020003,1.0012993824264353,0.0009274447645570119,0.9975665841908,0.0009239872929540651,15.3385,15.268
2456182.4831254003,0.9967482498802311,0.0009253936900774403,0.9925561480225308,0.0009215016896573303,15.3439,15.2733
2456182.4831488,1.005404145939392,0.000928748523256172,1.000900416662465,0.0009245881744730631,15.3442,15.2763
2456182.4831722,1.0036970365489672,0.0009274059429580295,0.9994969734730362,0.000923525127018979,15.3462,15.2731
2456182.4831956,1.0023892511893469,0.0009269109675710035,0.9986184517138424,0.0009234241031755515,15.3479,15.2685
2456182.483219,0.9939723943687224,0.0009248695984911774,0.9903468290077878,0.0009214960891274685,15.3442,15.2672
2456182.4832424,1.005847068612502,0.0009285058882625318,1.002045158619445,0.0009249963131736795,15.3409,15.2686
